AGS,Name,n_grid_points,mean_pred_pm25,median_pred_pm25,std_pred_pm25,min_pred_pm25,max_pred_pm25
03357,Rotenburg (Wümme),21,9.482592846547231,9.279502580820518,1.054626172329406,8.129247015586575,13.104023523981391
03358,Heidekreis,17,8.957031750330955,8.857438883000604,0.7983075698574483,7.606712575737683,10.24723228501706
03359,Stade,12,9.884844694301815,9.645897054535382,0.9978055737325235,8.713238548974926,12.001801250848574
03360,Uelzen,14,8.529766803162628,8.17938704687726,0.8769997846506371,7.4379632537183635,10.19087940411466
03361,Verden,8,9.279455220335453,9.16711537599668,1.0357766312265302,8.059026447973796,10.996271915857871
03403,Oldenburg (Oldb),1,8.650016574566697,8.650016574566697,0.0,8.650016574566697,8.650016574566697
03404,Osnabrück,2,8.552251927732186,8.552251927732186,0.4959741833899125,8.056277744342275,9.0482261111221
03451,Ammerland,7,9.658934482062307,9.675083074008068,0.5861295682795229,8.790754109192253,10.775760949683248
03452,Aurich,14,9.040350381689354,9.102369260202579,1.0857169381449148,7.361901250511954,11.74129479101991
03453,Cloppenburg,14,10.340437460124107,10.263261494384551,1.286400475871951,7.849188362428468,12.955385929239648
03454,Emsland,29,10.195210889829731,10.080866306158978,1.3946965051269036,8.27604540331491,12.811243862593097
03455,Friesland,7,9.538777049361565,9.538043806191396,0.5622372351827859,8.750429684331646,10.396666237008809
03456,Grafschaft Bentheim,9,9.745462203392144,9.744014182800138,1.0751767054792798,8.499011007488049,11.050473153859247
03457,Leer,13,9.821270856615643,8.983701621006134,1.8571699503356778,7.54526637151241,13.323790823164469
03458,Oldenburg,10,9.535320832349267,9.458127405395256,0.8114384065476526,8.026237602439847,11.382044918023634
03459,Osnabrück,22,9.767488814220952,9.552927888424632,1.5643841268357481,7.5831115703789935,14.204016967243698
03460,Vechta,9,9.8161810976852,9.661612818874511,1.1096061041204914,7.885617392659636,11.770677092921192
03461,Wesermarsch,9,8.536861119404481,8.334658767335076,0.9074223068463018,7.787783475798724,10.995445653760225
03462,Wittmund,7,8.978712895033793,8.749196497822073,0.7322257167508088,8.187596421521917,10.313101185615988
04011,Bremen,3,10.26735516484182,10.10921053386823,0.7258717296267174,9.46803271794806,11.224822242709172
04012,Bremerhaven,2,10.132997088543092,10.132997088543092,0.47099648757505985,9.662000600968032,10.603993576118151
06636,Werra-Meißner-Kreis,1,6.015337774760681,6.015337774760681,0.0,6.015337774760681,6.015337774760681
11000,Berlin,9,13.122183528208314,12.791469402687854,2.4916484251734436,8.738081133269086,16.753731263908332
12051,Brandenburg an der Havel,2,12.106085299024112,12.106085299024112,0.6195396197031249,11.486545679320988,12.725624918727238
12052,Cottbus,2,9.418393007584427,9.418393007584427,0.3999938338338911,9.018399173750536,9.818386841418318
12053,Frankfurt (Oder),1,11.648778600455778,11.648778600455778,0.0,11.648778600455778,11.648778600455778
12054,Potsdam,1,12.183314845083949,12.183314845083949,0.0,12.183314845083949,12.183314845083949
12060,Barnim,15,11.349525879617213,10.46189309177772,2.2228457134051203,8.527638425759312,16.38358535425155
12061,Dahme-Spreewald,23,11.2313716633463,10.263016073483248,1.8246385358910455,9.493735478968729,15.88991744618858
12062,Elbe-Elster,20,10.69367812242653,10.400307374088513,1.416377322748784,7.753690382624419,14.976319647369351
12063,Havelland,16,11.751008654774592,11.23759170455342,1.9301358848862267,9.058125709128898,16.474191118322537
12064,Märkisch-Oderland,21,12.189550528899819,11.73692903581192,2.6136481297333076,9.485419488297373,16.928641237524136
12065,Oberhavel,17,11.542655088480615,10.660942992658336,2.7103474716630727,8.155336510830288,17.13291497069549
12066,Oberspreewald-Lausitz,13,9.817727244654703,9.21937272770531,1.87218014968773,7.701586855631467,13.989328195468891
12067,Oder-Spree,23,10.769545973616296,9.881420673130869,2.1281165913312132,8.791998746172423,16.634718965305094
12068,Ostprignitz-Ruppin,26,11.340889759393688,11.536974470148309,1.9814565377109499,7.7867504501220814,15.269057892633905
12069,Potsdam-Mittelmark,27,10.307034844670376,10.000053309413564,1.3423953983711432,8.284321453478904,13.409615214337174
12070,Prignitz,22,10.551438055125054,9.805128130994758,1.833958909354115,8.70214853125881,15.830787357768076
12071,Spree-Neiße,13,9.393969854964963,9.246794361944534,0.8894097080519614,8.170485589338625,11.310030802171168
12072,Teltow-Fläming,20,11.837544319108757,10.464530899914775,2.6860120142044686,7.822425578046467,16.576334204096693
12073,Uckermark,32,11.323755640250155,11.240222679340103,1.9586782262770164,8.366952348549685,16.476322327433618
13003,Rostock,1,9.038858281438149,9.038858281438149,0.0,9.038858281438149,9.038858281438149
13004,Schwerin,2,8.81862804689706,8.81862804689706,0.9019515881278823,7.916676458769179,9.720579635024944
13071,Mecklenburgische Seenplatte,54,10.058929284881549,9.638918013652258,1.6971670516423647,7.860886512432098,14.698611051718428
13072,Rostock,38,11.481567088041848,11.4846602583894,2.1104960517284863,7.299451242315073,15.43539935392161
13073,Vorpommern-Rügen,31,9.706518597350785,9.231579769527716,1.828389810587162,7.264876684977988,13.714127411406595
13074,Nordwestmecklenburg,18,10.886651895790486,10.046391797769711,2.0912913039918095,8.127829864050645,15.305551823643777
13075,Vorpommern-Greifswald,36,10.65072438190486,9.921093281280495,2.0510675679751755,8.119152419844907,16.20973046878544
13076,Ludwigslust-Parchim,51,9.847277897146514,9.784109379179984,1.438631034516981,7.340523071857556,12.837250490103967
14511,Chemnitz,3,9.983979188468743,9.910606921885291,0.5740093207626275,9.320527882855888,10.720802760665048
14521,Erzgebirgskreis,19,7.28265849448946,6.778818989875522,1.4245240427585235,5.616800673194637,9.868860971445113
14522,Mittelsachsen,21,10.902160512590894,10.575424873698024,2.2202188957698414,7.238731354583135,15.080085150387276
14523,Vogtlandkreis,14,7.834481551099583,7.986955048928783,1.157794442897692,6.08140095635234,10.25358935004658
14524,Zwickau,11,9.657616879230961,9.482170002825258,1.2864704219496217,6.959538104229465,12.102810625515312
14612,Dresden,3,11.728822320899454,12.442109602159546,2.118233737746971,8.85249870209982,13.891858658438997
14625,Bautzen,23,11.545778271043414,11.25634619821278,2.3915645783251556,8.48505181683758,15.703208462166454
14626,Görlitz,22,10.450235868337218,10.185670531819497,1.665101464538108,8.236560028656204,13.856339488277287
14627,Meißen,13,12.25755712210483,11.60773442182828,2.2646413268449,9.227176830562264,16.82081624421764
14628,Sächsische Schweiz-Osterzgebirge,15,9.600557215294568,9.265701081275672,1.3428339737803654,8.14279506891865,12.421510229630544
14713,Leipzig,3,13.058018882339724,13.047448538644565,0.2677575698490934,12.735497136638475,13.391110971736127
14729,Leipzig,14,12.45017704338609,12.525959124160977,2.2346773213721454,7.184570480665249,15.941416869650247
14730,Nordsachsen,20,12.88597373268775,12.017274436654322,2.5857533292033508,8.776352205981924,17.089805614553555
15001,Dessau-Roßlau,3,10.689181451331839,10.667837299736066,1.399956570647769,8.985363538840414,12.414343515419038
15002,Halle (Saale),2,12.772519945377939,12.772519945377939,1.4001497185272367,11.372370226850702,14.172669663905175
15003,Magdeburg,2,12.560986143486335,12.560986143486335,2.6755663208719556,9.88541982261438,15.236552464358292
15081,Altmarkkreis Salzwedel,22,9.882379817558304,9.918137450139838,0.7928362287195111,8.491386702998923,11.321111553118534
15082,Anhalt-Bitterfeld,13,12.589554709515342,11.751544521813855,2.590046328917555,8.795604565365164,16.971418966334493
15083,Börde,24,10.871447316489352,10.584146125759464,1.6214242671226629,8.603320435381661,14.05938059503164
15084,Burgenlandkreis,13,10.791296796973613,9.793302138524554,2.409315921710322,7.778118147695018,16.175335054294028
15085,Harz,20,9.957991748091057,9.577396212423,2.796252839157897,6.154861707443517,15.8476279072012
15086,Jerichower Land,15,11.23616592283033,10.61411830224432,1.8375486770916696,9.082850421244745,15.374900376752246
15087,Mansfeld-Südharz,15,10.267037003480407,10.047329963235144,2.116418714943133,7.311306929371127,14.220209891522678
15088,Saalekreis,13,12.533567154895747,12.077077939802052,2.41010313395145,8.301939267893244,15.172305305358146
15089,Salzlandkreis,16,11.335551546786212,11.304791475653305,1.3513058359637682,9.2408713394709,13.880717386468334
15090,Stendal,22,10.546164870084153,10.173431828561696,1.5628076837349891,8.351932119083692,14.752076610546546
15091,Wittenberg,18,12.508162513830836,12.697344384268266,2.4222375463882613,8.718272036580622,16.692449437950586
16051,Erfurt,2,10.756870506542407,10.756870506542407,0.35612184931519053,10.400748657227217,11.112992355857598
16052,Gera,2,9.745634548389795,9.745634548389795,0.5586337560639096,9.187000792325884,10.304268304453704
16053,Jena,1,8.261748990371721,8.261748990371721,0.0,8.261748990371721,8.261748990371721
16054,Suhl,2,6.761336249128912,6.761336249128912,0.6898562102495331,6.071480038879379,7.451192459378445
16061,Eichsfeld,8,7.8065174404531135,7.791950935329084,1.0658594073263583,6.477979237380387,9.60810050797844
16062,Nordhausen,8,8.14712654948557,7.568104518415561,1.4507913964937744,6.34653408476284,10.382999902206354
16063,Wartburgkreis,14,7.865406724768806,7.666154159299641,1.186023635220266,5.762799241742696,10.841874457046648
16064,Unstrut-Hainich-Kreis,8,9.322187368607521,9.557659174524584,1.5393350983748513,6.988921903736292,11.180642837674252
16065,Kyffhäuserkreis,10,9.474648770199698,9.141818639414382,1.768510223220701,7.1320149171167735,12.154617174679636
16066,Schmalkalden-Meiningen,11,7.41202670915182,6.874404152208823,1.6710204755252858,5.017086138898196,10.728446514132177
16067,Gotha,9,8.996087085654771,8.872067721526644,1.5427450797786797,5.959027315520187,11.139237566242286
16068,Sömmerda,8,10.290147622887618,9.93878424673309,1.597579630226113,7.466114129427777,12.270866578286109
16069,Hildburghausen,10,7.946517413076019,6.913165131832109,1.633493367291594,6.483684113052921,11.346187241326756
16070,Ilm-Kreis,7,7.860490648961772,7.134167074562721,2.2343100492329766,6.064746588577077,13.255241648098602
16071,Weimarer Land,7,8.294285693561141,8.464931401416308,0.9397891387423692,7.0429492946499925,9.7681114157838
16072,Sonneberg,4,6.138823931371867,6.1043191917300135,0.6255303614573114,5.374115306058803,6.97254203596864
16073,Saalfeld-Rudolstadt,10,6.918970312640954,6.8013384896046585,0.7399928363192355,5.801417528738224,8.61558894181361
16074,Saale-Holzland-Kreis,10,8.938416018739096,8.863807677058269,1.698767773035217,6.84713602166778,13.37390037791124
16075,Saale-Orla-Kreis,12,7.270879444591775,7.115568248794835,0.7969300226989333,6.396376246515621,9.17697035493112
16076,Greiz,5,8.185904698645945,7.936079529532168,0.7348068151604713,7.203436010430496,9.309939494665844
16077,Altenburger Land,7,10.817683462011589,10.03351951364728,1.6497531866530206,9.12056411047108,13.862933690610657
