AGS,Name,bevoelkerung_gesamt,bevoelkerung_unter15,bevoelkerung_15_64,bevoelkerung_65plus,medianalter,tode_2024,arbeitslosenquote_pct,bruttolohn_je_arbeitnehmer_eur,todesrate_je_1000ew
05111,DÃ¼sseldorf,616319.0,82092.0,417238.0,116989.0,42.1,6575.0,7.7,57708.0,10.668176707192218
05112,Duisburg,503185.0,75823.0,325479.0,101883.0,43.2,6563.0,12.8,46489.0,13.042916621123444
05113,Essen,574082.0,81537.0,367179.0,125366.0,43.9,7621.0,10.8,49380.0,13.275107040457636
05114,Krefeld,230393.0,31960.0,147424.0,51009.0,45.8,2987.0,10.8,47031.0,12.964803618165483
05116,MÃ¶nchengladbach,267667.0,37786.0,172584.0,57297.0,44.3,3433.0,10.3,41931.0,12.825637826104824
05117,MÃ¼lheim an der Ruhr,172887.0,24654.0,107136.0,41097.0,46.9,2339.0,8.0,49657.0,13.529068119638838
05119,Oberhausen,213510.0,30411.0,134909.0,48190.0,45.8,2845.0,10.9,41870.0,13.324902814856447
05120,Remscheid,114061.0,16143.0,72779.0,25139.0,45.8,1416.0,8.1,45383.0,12.414409833334794
05122,Solingen,166078.0,23396.0,106342.0,36340.0,45.9,2139.0,8.1,41330.0,12.87949035995135
05124,Wuppertal,358592.0,52411.0,231279.0,74902.0,43.5,4323.0,9.3,44539.0,12.055483669462788
05154,Kleve,319928.0,44308.0,206159.0,69461.0,45.7,3848.0,6.2,37607.0,12.027706233902627
05158,Mettmann,489760.0,68308.0,302006.0,119446.0,48.3,6523.0,6.9,49564.0,13.318768376347599
05162,Rhein-Kreis Neuss,457398.0,66184.0,287484.0,103730.0,46.9,5434.0,5.9,45664.0,11.880244338628504
05166,Viersen,297504.0,40124.0,187451.0,69929.0,48.6,3940.0,5.8,38591.0,13.24351941486501
05170,Wesel,457545.0,62160.0,282782.0,112603.0,48.8,6235.0,7.2,39082.0,13.627074932520298
05314,Bonn,321680.0,44425.0,216489.0,60766.0,41.1,3179.0,7.0,51831.0,9.882491917433475
05315,KÃ¶ln,1024408.0,137126.0,704163.0,183119.0,41.3,10558.0,8.9,52363.0,10.306440402652068
05316,Leverkusen,167850.0,24113.0,107635.0,36102.0,45.1,1928.0,7.4,54501.0,11.486446231754543
05334,StÃ¤dteregion Aachen,582463.0,75006.0,385668.0,121789.0,42.5,6445.0,7.4,44280.0,11.065080528720278
05358,DÃ¼ren,278462.0,39849.0,176902.0,61711.0,45.7,3474.0,7.4,41215.0,12.475669929828847
05362,Rhein-Erft-Kreis,476412.0,69627.0,302376.0,104409.0,45.8,5809.0,6.2,44325.0,12.193227710469088
05366,Euskirchen,201841.0,28458.0,127295.0,46088.0,47.3,2514.0,5.8,40147.0,12.45534851690192
05370,Heinsberg,262149.0,37037.0,166353.0,58759.0,46.8,3257.0,5.9,37811.0,12.424232020721039
05374,Oberbergischer Kreis,273963.0,40649.0,172161.0,61153.0,46.3,3460.0,5.5,42956.0,12.629442661965301
05378,Rheinisch-Bergischer Kreis,283607.0,39563.0,175979.0,68065.0,48.8,3579.0,5.8,41030.0,12.61957568043102
05382,Rhein-Sieg-Kreis,605283.0,86723.0,381199.0,137361.0,46.9,6826.0,5.6,39971.0,11.277369428845681
05512,Bottrop,118912.0,16288.0,74172.0,28452.0,47.4,1552.0,8.1,37924.0,13.051668460710442
05513,Gelsenkirchen,267284.0,42924.0,170245.0,54115.0,42.9,3379.0,14.8,43027.0,12.641983807485671
05515,MÃ¼nster,307071.0,38949.0,211602.0,56520.0,39.1,2815.0,5.1,46727.0,9.167260991757606
05554,Borken,379787.0,58445.0,244901.0,76441.0,44.6,4203.0,4.6,39344.0,11.066729508908942
05558,Coesfeld,226217.0,32928.0,141798.0,51491.0,47.2,2591.0,4.0,38130.0,11.453604282613597
05562,Recklinghausen,622855.0,87535.0,387922.0,147398.0,47.4,8731.0,8.3,39510.0,14.017708776521019
05566,Steinfurt,450042.0,66772.0,288651.0,94619.0,45.5,5055.0,5.1,39594.0,11.232284986734571
05570,Warendorf,282216.0,41176.0,178337.0,62703.0,46.5,3146.0,5.5,41435.0,11.147489865918304
05711,Bielefeld,331519.0,47353.0,217332.0,66834.0,42.2,3761.0,8.9,43622.0,11.344749471372682
05754,GÃ¼tersloh,363674.0,53960.0,234272.0,75442.0,45.1,4158.0,5.1,44763.0,11.433316651726546
05758,Herford,254593.0,36448.0,160027.0,58118.0,46.8,3168.0,6.2,41111.0,12.443390038217862
05762,HÃ¶xter,139042.0,19121.0,85989.0,33932.0,48.6,1838.0,4.8,36945.0,13.219027344255693
05766,Lippe,347613.0,51816.0,214185.0,81612.0,46.6,4492.0,5.5,42001.0,12.922416595466798
05770,Minden-LÃ¼bbecke,320925.0,47092.0,201004.0,72829.0,46.3,4158.0,6.2,42364.0,12.956298200514137
05774,Paderborn,315606.0,46598.0,205853.0,63155.0,42.9,3253.0,5.7,40638.0,10.30715512379359
05911,Bochum,357024.0,45843.0,231561.0,79620.0,44.3,4534.0,9.0,43672.0,12.699426369095637
05913,Dortmund,601343.0,85841.0,392882.0,122620.0,43.0,7466.0,11.7,45336.0,12.415543209116926
