station_code,split,country,land,lat,lon,fold,saved_pm25_target,valid_pm25_days,valid_pm10_days,annual_pm25,annual_pm10,pm25_day_deficit_vs_threshold,passes_pm25_90pct,pm10_or_only_case,annual_pm25_abs_diff,audit_status
ES1193A,development_cv,ES,,40.42,-3.74917,fold1_iberia,6.017180281639929,364,364,6.01718015056156,13.895650812979442,-35,True,False,1.310783686037098e-07,computed
ES1222A,development_cv,ES,,41.69306,2.44194,fold1_iberia,7.801763018284594,346,0,7.801763005780346,,-17,True,False,1.2504247415279224e-08,computed
ES1239A,development_cv,ES,,39.45611,-0.37583,fold1_iberia,6.065852451608064,353,353,6.065852310161954,14.836174836713697,-24,True,False,1.4144610993582774e-07,computed
ES1244A,development_cv,ES,,43.2675,-2.9352,fold1_iberia,8.09392414947538,366,366,8.093924116260181,14.04488634863724,-37,True,False,3.3215199479741386e-08,computed
ES1248A,development_cv,ES,,42.4054,1.13,fold1_iberia,5.2158001854138005,366,366,5.2158001972684795,12.397777155528404,-37,True,False,1.1854679016209957e-08,computed
ES1253A,development_cv,ES,,38.09293,-3.78392,fold1_iberia,13.570283459497814,364,358,13.570283347985784,27.361509135664754,-35,True,False,1.1151202983228359e-07,computed
ES1262A,development_cv,ES,,41.56199,2.10209,fold1_iberia,11.435747777164128,341,362,11.43574780058651,20.174830476702386,-12,True,False,2.3422382255944285e-08,computed
ES1269A,development_cv,ES,,43.36686,-5.8321950000000005,fold1_iberia,11.984618218501852,358,358,11.98461825712371,24.56039475452843,-29,True,False,3.862185771197346e-08,computed
ES1271A,development_cv,ES,,43.539955000000006,-5.697505,fold1_iberia,11.409027206429116,365,362,11.409027212073356,28.085314760441445,-36,True,False,5.644240630431341e-09,computed
ES1272A,development_cv,ES,,43.53111,-5.70583,fold1_iberia,10.805862508974768,362,362,10.805862516835013,23.298582146738333,-33,True,False,7.860245787583153e-09,computed
ES1349A,development_cv,ES,,43.14407,-2.96337,fold1_iberia,8.4748365673995,366,366,8.474836574957557,14.748044300528639,-37,True,False,7.558057291134901e-09,computed
ES1353A,development_cv,ES,,43.29552,-5.681464999999999,fold1_iberia,9.898928333202406,365,364,9.89892834039726,16.673573508661132,-36,True,False,7.194854489966929e-09,computed
ES1386A,development_cv,ES,,40.01278,-0.05722,fold1_iberia,3.0341173559053014,354,354,3.034117489490358,4.4865099837697775,-25,True,False,1.3358505679406107e-07,computed
ES1418A,development_cv,ES,,41.76278,-1.14333,fold1_iberia,10.114006512437864,307,362,10.11400651465798,16.162983425414364,22,False,True,2.2201156468781846e-09,computed
ES1421A,development_cv,ES,,40.33639,-1.10667,fold1_iberia,8.87362633815193,364,362,8.873626373626374,13.466850828729282,-35,True,False,3.547444471507788e-08,computed
ES1432A,development_cv,ES,,43.17829,-6.54996,fold1_iberia,8.167237787555914,364,364,8.167237723693924,15.211799094089608,-35,True,False,6.38619894743897e-08,computed
ES1438A,development_cv,ES,,41.385705,2.15454,fold1_iberia,10.492013798640924,364,364,10.492013802368493,22.279513716641866,-35,True,False,3.7275693642868646e-09,computed
ES1440A,development_cv,ES,,42.21028,-8.73694,fold1_iberia,10.756183423343652,366,0,10.75618342597757,,-37,True,False,2.633917972616473e-09,computed
ES1443A,development_cv,ES,,42.33611,-3.63611,fold1_iberia,5.794428798778728,366,357,5.794428921411835,10.667412611677918,-37,True,False,1.2263310633642277e-07,computed
ES1445A,development_cv,ES,,39.98194,0.01056,fold1_iberia,4.85521818676705,363,363,4.8552182546163865,8.820193542633357,-34,True,False,6.784933681558414e-08,computed
ES1472A,development_cv,ES,,42.80661,-1.652195,fold1_iberia,12.256198421599471,121,363,12.256198347107437,12.879380837404312,208,False,True,7.449203387466241e-08,computed
ES1489A,development_cv,ES,,42.87524,-3.231545,fold1_iberia,4.402880588396515,366,366,4.402880577488561,7.752225670847891,-37,True,False,1.0907954539618459e-08,computed
ES1490A,development_cv,ES,,43.17222,-2.63583,fold1_iberia,9.151101320833764,365,365,9.15110134058913,15.504127808494442,-36,True,False,1.9755367119955736e-08,computed
ES1491A,development_cv,ES,,43.406015,-2.703535,fold1_iberia,4.708046632302561,360,360,4.708046659724292,7.13242901358748,-31,True,False,2.742173066394571e-08,computed
ES1492A,development_cv,ES,,42.85556,-2.66806,fold1_iberia,7.874765815978056,365,363,7.8747657177049675,10.814338123249371,-36,True,False,9.827308833365578e-08,computed
ES1494A,development_cv,ES,,43.32278,-1.96028,fold1_iberia,6.911456641516087,354,366,6.911456575439627,20.770350640094048,-25,True,False,6.607645985923227e-08,computed
ES1497A,development_cv,ES,,43.2675,-1.9777,fold1_iberia,7.607375107035047,365,365,7.607375073804496,15.79790659509242,-36,True,False,3.323055075554748e-08,computed
ES1498A,development_cv,ES,,43.13083,-2.07778,fold1_iberia,7.754153599767893,365,365,7.754153596717623,13.988776712613738,-36,True,False,3.0502693704193007e-09,computed
ES1499A,development_cv,ES,,43.04822,-2.1912450000000003,fold1_iberia,9.859648461352863,352,352,9.859648452255913,14.859182710405536,-23,True,False,9.096950748244126e-09,computed
ES1501A,development_cv,ES,,43.18,-2.26806,fold1_iberia,7.631824707453818,366,366,7.631824622870595,13.817923276137817,-37,True,False,8.458322309223831e-08,computed
ES1502A,development_cv,ES,,42.85476,-2.68063,fold1_iberia,7.2187517480652446,366,366,7.218751682044625,13.836177379878379,-37,True,False,6.60206191938073e-08,computed
ES1525A,development_cv,ES,,40.44528,-3.70639,fold1_iberia,9.227409459893831,366,366,9.227409472933397,18.867909751864016,-37,True,False,1.3039565871508785e-08,computed
ES1529A,development_cv,ES,,43.46778,-3.79028,fold1_iberia,7.380952401021734,63,366,7.380952380952381,18.222041544474205,266,False,True,2.0069352402174445e-08,computed
ES1530A,development_cv,ES,,43.006525,-4.13556,fold1_iberia,5.4531249735801595,64,365,5.453125,10.698401014312271,265,False,True,2.6419840537528216e-08,computed
ES1543A,development_cv,ES,,40.735,-0.16944,fold1_iberia,2.8609026297931694,357,357,2.8609026455044955,5.803363698991836,-28,True,False,1.571132601796421e-08,computed
ES1544A,development_cv,ES,,42.849085,-2.43546,fold1_iberia,7.750161448211639,366,366,7.7501613991457186,13.444590750185903,-37,True,False,4.9065920215696224e-08,computed
ES1559A,development_cv,ES,,41.96028,3.03917,fold1_iberia,9.90902139374749,327,338,9.90902140672783,19.19940828402367,2,False,True,1.2980338581769502e-08,computed
ES1563A,development_cv,ES,,40.47925,-3.377865,fold1_iberia,10.757897655155276,366,365,10.757897653770387,19.771452839514712,-37,True,False,1.3848886482037415e-09,computed
ES1567A,development_cv,ES,,40.33971,-3.745165,fold1_iberia,9.90209023779562,366,365,9.902090238102245,18.84031303774029,-37,True,False,3.0662405947623483e-10,computed
ES1572A,development_cv,ES,,43.37278,-5.87278,fold1_iberia,5.96013863822533,366,366,5.960138599146412,15.265369410245992,-37,True,False,3.9078917879464825e-08,computed
ES1578A,development_cv,ES,,43.38264,-3.220975,fold1_iberia,6.156249996670403,64,363,6.15625,11.828926637353325,265,False,True,3.3295970425228916e-09,computed
ES1595A,development_cv,ES,,43.29846,-2.93038,fold1_iberia,8.061870775244696,366,366,8.061870808173374,14.319067302183837,-37,True,False,3.2928678450616644e-08,computed
ES1598A,development_cv,ES,,43.212985,-3.13442,fold1_iberia,8.119774891829241,366,366,8.11977490514554,14.34471299620463,-37,True,False,1.3316299174448432e-08,computed
ES1599A,development_cv,ES,,43.25056,-2.155,fold1_iberia,4.899206865976101,345,349,4.899206806046922,10.83253931024044,-16,True,False,5.992917895270011e-08,computed
ES1601A,development_cv,ES,,38.88763,-7.01145,fold1_iberia,8.417333281602042,75,361,8.417333333333334,17.595581488511822,254,False,True,5.173129125068954e-08,computed
