station_code,split,country,land,lat,lon,fold,saved_pm25_target,valid_pm25_days,valid_pm10_days,annual_pm25,annual_pm10,pm25_day_deficit_vs_threshold,passes_pm25_90pct,pm10_or_only_case,annual_pm25_abs_diff,audit_status,pm25_valid_day_bin
ES0392A,development_cv,ES,,41.39417,1.84028,fold1_iberia,10.512157537693874,292,342,10.512157534246576,22.06763157894737,37,False,True,3.4472975585231325e-09,computed,182-328
ES1856A,development_cv,ES,,41.426105,2.1480300000000003,fold1_iberia,10.10068260540268,293,342,10.100682593856655,17.925730994152048,36,False,True,1.1546024580866288e-08,computed,182-328
HU0022A,development_cv,HU,,47.43084,19.18417,fold6_balkan_e,7.407407457294433,297,345,7.407407407407407,21.849275362318842,32,False,True,4.9887025177497435e-08,computed,182-328
CZ0TORO,development_cv,CZ,,49.81856,18.34039,fold8_poland,16.35407422180003,298,362,16.354073811386485,23.23874689152291,31,False,True,4.1041354492676874e-07,computed,182-328
PT01048,development_cv,PT,,41.37139,-7.79083,fold1_iberia,3.5767952477544993,299,337,3.576795332701391,9.582921246110903,30,False,True,8.494689174298742e-08,computed,182-328
TR140213,development_cv,TR,,40.6039,31.25997,fold7_balkan_s,14.715317042042376,299,355,14.715317004583097,25.645608031051577,30,False,True,3.745927834586382e-08,computed,182-328
CZ0TOMH,development_cv,CZ,,49.82486,18.26365,fold8_poland,14.706457294579389,301,366,14.70645710878269,21.978487718624923,28,False,True,1.8579669891494177e-07,computed,182-328
ES0010R,development_cv,ES,,42.31917,3.31583,fold1_iberia,7.158415910931605,303,343,7.158415841584159,13.425655976676385,26,False,True,6.934744600783915e-08,computed,182-328
IT1247A,development_cv,IT,,45.558705,8.056395,fold3_italy,9.59405940659894,303,353,9.594059405940595,15.337110481586402,26,False,True,6.583462663911632e-10,computed,182-328
HU0029A,development_cv,HU,,46.08028,18.21112,fold6_balkan_e,11.609539539345384,304,362,11.609539473684212,20.676795580110497,25,False,True,6.566117249917625e-08,computed,182-328
DENW053,development_cv,DE,Nordrhein-Westfalen,51.01934,6.88464,fold4_alpine,8.247356509999005,306,366,8.24735654827743,11.543040203402946,23,False,True,3.8278425762428014e-08,computed,182-328
ES1418A,development_cv,ES,,41.76278,-1.14333,fold1_iberia,10.114006512437864,307,362,10.11400651465798,16.162983425414364,22,False,True,2.2201156468781846e-09,computed,182-328
PL0238A,development_cv,PL,,50.27945,18.65583,fold8_poland,21.242207536589007,308,366,21.242207792207793,29.041804232632813,21,False,True,2.5561878658209025e-07,computed,182-328
FR33211,development_cv,FR,,46.19583,6.24056,fold2_france,8.109985251985089,309,361,8.109985338409613,15.179766026115173,20,False,True,8.642452442586546e-08,computed,182-328
IT1830A,development_cv,IT,,44.91932,8.622015000000001,fold3_italy,17.728155633872223,309,334,17.728155339805824,24.077844311377245,20,False,True,2.940663996753301e-07,computed,182-328
ES1642A,development_cv,ES,,41.936185,2.2393,fold1_iberia,9.948967726220504,310,365,9.948967741935483,19.058451929015156,19,False,True,1.5714979539893648e-08,computed,182-328
IT2336A,development_cv,IT,,40.40444,16.1191,fold3_italy,4.6969132107689555,311,340,4.696913183279743,20.945264705882355,18,False,True,2.7489212683917685e-08,computed,182-328
GR0048A,development_cv,GR,,38.24647,21.73451,fold7_balkan_s,14.59168741910254,315,335,14.591687363015845,26.65094009456812,14,False,True,5.608669439993719e-08,computed,182-328
IT2148A,development_cv,IT,,40.64929,17.51271,fold3_italy,13.898299426386425,315,353,13.898299422776441,20.087488475405614,14,False,True,3.609983423302765e-09,computed,182-328
RO0252A,development_cv,RO,,45.29934,21.87213,fold6_balkan_e,10.685718449397022,315,330,10.685718412698412,20.289109999999997,14,False,True,3.6698610372809526e-08,computed,182-328
