model,validation_fold,fraction,seed,pollutant,n_train_before_buffer,n_buffer_dropped,n_train_after_buffer,n_train_sampled,sampled_counts_by_source_fold,best_epoch,rmse,mae,r2,n_validation,total_parameters,trainable_parameters,frozen_parameters,source
resnet_frozen,fold6_balkan_e,1.0,,pm25,1723,65,1658,1658,,424,7.738386992192227,5.243383679519071,-0.5700676731791872,146,23766049,236065,23529984,canonical_cv
resnet_frozen,fold7_balkan_s,1.0,,pm25,1725,12,1713,1713,,99,9.07296969314887,7.162637828646776,-0.8810410190407574,144,23766049,236065,23529984,canonical_cv
resnet_frozen,fold8_poland,1.0,,pm25,1592,54,1538,1538,,1,5.550734978672857,4.834397524918137,-2.471787799194172,277,23766049,236065,23529984,canonical_cv
resnet_frozen,fold1_iberia,0.25,1,pm25,1665,3,1662,415,"{""fold2_france"": 90, ""fold3_italy"": 72, ""fold4_alpine"": 63, ""fold5_north"": 49, ""fold6_balkan_e"": 36, ""fold7_balkan_s"": 36, ""fold8_poland"": 69}",57,3.0986476475029368,2.62967417780157,-0.44940413046603167,204,23766049,236065,23529984,ablation_run
resnet_frozen,fold2_france,0.25,1,pm25,1507,115,1392,347,"{""fold1_iberia"": 46, ""fold3_italy"": 69, ""fold4_alpine"": 42, ""fold5_north"": 49, ""fold6_balkan_e"": 36, ""fold7_balkan_s"": 36, ""fold8_poland"": 69}",91,2.9807978770839347,2.7274380994450027,-2.245618146420016,362,23766049,236065,23529984,ablation_run
resnet_frozen,fold3_italy,0.25,1,pm25,1583,25,1558,389,"{""fold1_iberia"": 51, ""fold2_france"": 88, ""fold4_alpine"": 62, ""fold5_north"": 49, ""fold6_balkan_e"": 34, ""fold7_balkan_s"": 36, ""fold8_poland"": 69}",1,5.57398385380165,4.313182944646852,-0.6948210290804344,286,23766049,236065,23529984,ablation_run
resnet_frozen,fold4_alpine,0.25,1,pm25,1616,150,1466,366,"{""fold1_iberia"": 51, ""fold2_france"": 77, ""fold3_italy"": 62, ""fold5_north"": 49, ""fold6_balkan_e"": 32, ""fold7_balkan_s"": 36, ""fold8_poland"": 59}",119,1.9682339013928203,1.644687181074928,-0.2144021651567123,253,23766049,236065,23529984,ablation_run
resnet_frozen,fold5_north,0.25,1,pm25,1672,0,1672,417,"{""fold1_iberia"": 51, ""fold2_france"": 90, ""fold3_italy"": 72, ""fold4_alpine"": 63, ""fold6_balkan_e"": 36, ""fold7_balkan_s"": 36, ""fold8_poland"": 69}",70,4.278073293010098,3.8253925829372575,-3.039254702350547,197,23766049,236065,23529984,ablation_run
resnet_frozen,fold6_balkan_e,0.25,1,pm25,1723,65,1658,413,"{""fold1_iberia"": 51, ""fold2_france"": 90, ""fold3_italy"": 67, ""fold4_alpine"": 60, ""fold5_north"": 49, ""fold7_balkan_s"": 33, ""fold8_poland"": 63}",1,8.82798451200613,6.697660245900554,-1.0433399224357855,146,23766049,236065,23529984,ablation_run
resnet_frozen,fold7_balkan_s,0.25,1,pm25,1725,12,1713,428,"{""fold1_iberia"": 51, ""fold2_france"": 90, ""fold3_italy"": 72, ""fold4_alpine"": 63, ""fold5_north"": 49, ""fold6_balkan_e"": 34, ""fold8_poland"": 69}",1,10.014063285990163,8.050914293156412,-1.2915008025067896,144,23766049,236065,23529984,ablation_run
resnet_frozen,fold8_poland,0.25,1,pm25,1592,54,1538,384,"{""fold1_iberia"": 51, ""fold2_france"": 90, ""fold3_italy"": 72, ""fold4_alpine"": 52, ""fold5_north"": 49, ""fold6_balkan_e"": 34, ""fold7_balkan_s"": 36}",1,5.197658349205094,4.466401136681237,-2.0441611656806686,277,23766049,236065,23529984,ablation_run
resnet_frozen,fold1_iberia,0.25,2,pm25,1665,3,1662,415,"{""fold2_france"": 90, ""fold3_italy"": 72, ""fold4_alpine"": 63, ""fold5_north"": 49, ""fold6_balkan_e"": 36, ""fold7_balkan_s"": 36, ""fold8_poland"": 69}",62,3.080674477557853,2.6212646783879707,-0.4326388478525407,204,23766049,236065,23529984,ablation_run
resnet_frozen,fold2_france,0.25,2,pm25,1507,115,1392,347,"{""fold1_iberia"": 46, ""fold3_italy"": 69, ""fold4_alpine"": 42, ""fold5_north"": 49, ""fold6_balkan_e"": 36, ""fold7_balkan_s"": 36, ""fold8_poland"": 69}",52,2.9959652434361947,2.712678399098903,-2.2787318685739653,362,23766049,236065,23529984,ablation_run
resnet_frozen,fold3_italy,0.25,2,pm25,1583,25,1558,389,"{""fold1_iberia"": 51, ""fold2_france"": 88, ""fold4_alpine"": 62, ""fold5_north"": 49, ""fold6_balkan_e"": 34, ""fold7_balkan_s"": 36, ""fold8_poland"": 69}",1,5.559816902821162,4.301376016643156,-0.6862167986648464,286,23766049,236065,23529984,ablation_run
resnet_frozen,fold4_alpine,0.25,2,pm25,1616,150,1466,366,"{""fold1_iberia"": 51, ""fold2_france"": 77, ""fold3_italy"": 62, ""fold5_north"": 49, ""fold6_balkan_e"": 32, ""fold7_balkan_s"": 36, ""fold8_poland"": 59}",109,2.144228016169222,1.827657596577508,-0.44128893237287103,253,23766049,236065,23529984,ablation_run
resnet_frozen,fold5_north,0.25,2,pm25,1672,0,1672,417,"{""fold1_iberia"": 51, ""fold2_france"": 90, ""fold3_italy"": 72, ""fold4_alpine"": 63, ""fold6_balkan_e"": 36, ""fold7_balkan_s"": 36, ""fold8_poland"": 69}",80,4.448589006064355,3.9870011459032426,-3.367665479218598,197,23766049,236065,23529984,ablation_run
resnet_frozen,fold6_balkan_e,0.25,2,pm25,1723,65,1658,413,"{""fold1_iberia"": 51, ""fold2_france"": 90, ""fold3_italy"": 67, ""fold4_alpine"": 60, ""fold5_north"": 49, ""fold7_balkan_s"": 33, ""fold8_poland"": 63}",1,8.80033322692249,6.667939183864534,-1.0305595178253122,146,23766049,236065,23529984,ablation_run
resnet_frozen,fold7_balkan_s,0.25,2,pm25,1725,12,1713,428,"{""fold1_iberia"": 51, ""fold2_france"": 90, ""fold3_italy"": 72, ""fold4_alpine"": 63, ""fold5_north"": 49, ""fold6_balkan_e"": 34, ""fold8_poland"": 69}",1,10.027430149151238,8.064372901640244,-1.2976223585677804,144,23766049,236065,23529984,ablation_run
resnet_frozen,fold8_poland,0.25,2,pm25,1592,54,1538,384,"{""fold1_iberia"": 51, ""fold2_france"": 90, ""fold3_italy"": 72, ""fold4_alpine"": 52, ""fold5_north"": 49, ""fold6_balkan_e"": 34, ""fold7_balkan_s"": 36}",1,5.507571297300886,4.789350701960393,-2.4180029893006285,277,23766049,236065,23529984,ablation_run
resnet_frozen,fold1_iberia,0.25,3,pm25,1665,3,1662,415,"{""fold2_france"": 90, ""fold3_italy"": 72, ""fold4_alpine"": 63, ""fold5_north"": 49, ""fold6_balkan_e"": 36, ""fold7_balkan_s"": 36, ""fold8_poland"": 69}",72,2.964680042958061,2.532102129035426,-0.3267856377289109,204,23766049,236065,23529984,ablation_run
resnet_frozen,fold2_france,0.25,3,pm25,1507,115,1392,347,"{""fold1_iberia"": 46, ""fold3_italy"": 69, ""fold4_alpine"": 42, ""fold5_north"": 49, ""fold6_balkan_e"": 36, ""fold7_balkan_s"": 36, ""fold8_poland"": 69}",6,2.951138291764545,2.591201138971459,-2.181350259139315,362,23766049,236065,23529984,ablation_run
resnet_frozen,fold3_italy,0.25,3,pm25,1583,25,1558,389,"{""fold1_iberia"": 51, ""fold2_france"": 88, ""fold4_alpine"": 62, ""fold5_north"": 49, ""fold6_balkan_e"": 34, ""fold7_balkan_s"": 36, ""fold8_poland"": 69}",1,5.652958192500613,4.38487270468089,-0.7431870098884805,286,23766049,236065,23529984,ablation_run
